PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN,Image,Exponent
37.47937767509373,0.9175384637038219,0.9818934798240662,0.8845813980243723,0.002923764676191285,0.2760683037685726,file1000277.h5,2.0
37.480564861365224,0.9175400247185405,0.9818928837776184,0.884685777199584,0.0029229655458662684,0.27601216755785873,file1000277.h5,3.0
33.45117922815576,0.8566443295184845,0.9726519584655762,0.9165969651217909,0.006440340456835851,0.2624528641582496,file1000308.h5,0.0
33.448377237236144,0.856637962384457,0.9726486206054688,0.916660350538621,0.006444496990913691,0.26250567955654425,file1000308.h5,0.25
33.44551226338049,0.8566309811609263,0.9726449251174927,0.9167250555229918,0.006448749728971217,0.2625605704870779,file1000308.h5,0.5
33.44258454014973,0.8566233860874508,0.9726409912109375,0.9167910699782142,0.006453098510841007,0.26261752983956627,file1000308.h5,0.75
33.43959432310308,0.8566151777214532,0.9726370573043823,0.9168583829253891,0.006457543147009782,0.2626765501516722,file1000308.h5,1.0
33.43654188650807,0.8566063570182515,0.9726325273513794,0.9169269832959182,0.006462083423361109,0.2627376238536245,file1000308.h5,1.25
33.43342751926271,0.8565969252951562,0.9726279973983765,0.9169968611245976,0.0064667191071050715,0.26280074295114003,file1000308.h5,1.5
33.42701419474224,0.856576235478935,0.9726181030273438,0.9171404230875307,0.006476275711484425,0.262933079550292,file1000308.h5,2.0
33.41345822665397,0.856527610321417,0.9725953340530396,0.9174426753588987,0.006496522191572803,0.2632218268633229,file1000308.h5,3.0
35.14229937145741,0.891228285220375,0.9748541116714478,0.8662491698431177,0.002981269978048314,0.2764055648778713,file1000389.h5,0.0
35.14047982011054,0.8912199912071695,0.9748488068580627,0.8663890307377725,0.0029825192940189163,0.2764056730911242,file1000389.h5,0.25
35.13861322566828,0.8912111829481786,0.974843442440033,0.8665283635552953,0.002983801454101741,0.2764076671198236,file1000389.h5,0.5
35.136700412377834,0.8912018699654545,0.9748378396034241,0.8666671575380472,0.0029851159336542203,0.2764115217112538,file1000389.h5,0.75
35.134742213685456,0.8911920618572816,0.974831759929657,0.866805402134075,0.002986462201772438,0.2764172112023073,file1000389.h5,1.0
35.132739471546415,0.8911817682908788,0.9748257994651794,0.8669430869997042,0.0029878397216926782,0.2764247095425588,file1000389.h5,1.25
35.13069303573801,0.8911709989950217,0.9748193621635437,0.8670802020019959,0.0029892479511921437,0.2764339903173186,file1000389.h5,1.5
35.12647251723968,0.8911480723940011,0.9748064875602722,0.8673526829521295,0.0029921543451371267,0.27645779182822544,file1000389.h5,2.0
35.11754525592044,0.8910969436475592,0.9747783541679382,0.8678903845270214,0.0029983112772918176,0.2765255867481159,file1000389.h5,3.0
